Year,Month,County,Registration type,Engine type,Car registration count
2018,January,Galway,New Irish Registrations,Non electric,"1,452"
2018,February,Galway,New Irish Registrations,Non electric,529
2018,March,Galway,New Irish Registrations,Non electric,576
2018,April,Galway,New Irish Registrations,Non electric,238
2018,May,Galway,New Irish Registrations,Non electric,163
2018,June,Galway,New Irish Registrations,Non electric,23
2018,July,Galway,New Irish Registrations,Non electric,883
2018,August,Galway,New Irish Registrations,Non electric,242
2018,September,Galway,New Irish Registrations,Non electric,135
2018,October,Galway,New Irish Registrations,Non electric,81
2018,November,Galway,New Irish Registrations,Non electric,17
2018,December,Galway,New Irish Registrations,Non electric,1
2018,July,Galway,New Imports,Non electric,2
2018,January,Galway,Used Imports,Non electric,522
2018,February,Galway,Used Imports,Non electric,528
2018,March,Galway,Used Imports,Non electric,525
2018,April,Galway,Used Imports,Non electric,527
2018,May,Galway,Used Imports,Non electric,515
2018,June,Galway,Used Imports,Non electric,472
2018,July,Galway,Used Imports,Non electric,485
2018,August,Galway,Used Imports,Non electric,493
2018,September,Galway,Used Imports,Non electric,478
2018,October,Galway,Used Imports,Non electric,545
2018,November,Galway,Used Imports,Non electric,456
2018,December,Galway,Used Imports,Non electric,306
2018,January,Galway,New Irish Registrations,Electric,6
2018,March,Galway,New Irish Registrations,Electric,4
2018,April,Galway,New Irish Registrations,Electric,4
2018,May,Galway,New Irish Registrations,Electric,3
2018,July,Galway,New Irish Registrations,Electric,19
2018,August,Galway,New Irish Registrations,Electric,5
2018,September,Galway,New Irish Registrations,Electric,4
2018,November,Galway,New Irish Registrations,Electric,1
2018,January,Galway,Used Imports,Electric,2
2018,February,Galway,Used Imports,Electric,4
2018,March,Galway,Used Imports,Electric,7
2018,April,Galway,Used Imports,Electric,5
2018,May,Galway,Used Imports,Electric,3
2018,June,Galway,Used Imports,Electric,6
2018,July,Galway,Used Imports,Electric,3
2018,August,Galway,Used Imports,Electric,3
2018,September,Galway,Used Imports,Electric,2
2018,October,Galway,Used Imports,Electric,4
2018,November,Galway,Used Imports,Electric,3
2018,January,Galway,New Irish Registrations,Hybrid,110
2018,February,Galway,New Irish Registrations,Hybrid,58
2018,March,Galway,New Irish Registrations,Hybrid,43
2018,April,Galway,New Irish Registrations,Hybrid,17
2018,May,Galway,New Irish Registrations,Hybrid,22
2018,June,Galway,New Irish Registrations,Hybrid,1
2018,July,Galway,New Irish Registrations,Hybrid,99
2018,August,Galway,New Irish Registrations,Hybrid,20
2018,September,Galway,New Irish Registrations,Hybrid,3
2018,October,Galway,New Irish Registrations,Hybrid,5
2018,November,Galway,New Irish Registrations,Hybrid,1
2018,January,Galway,Used Imports,Hybrid,27
2018,February,Galway,Used Imports,Hybrid,25
2018,March,Galway,Used Imports,Hybrid,27
